Ticker,Description,Open,High,Low,Price,Volume,Volume*Price,Change,Change %,"Change 1W, %","Change 1M, %",Weekly Performance,Monthly Performance,3-Month Performance,6-Month Performance,Yearly Performance,YTD Performance,1-Year Beta,Volatility,Sector,Industry,Market Capitalization,Simple Moving Average (20),Simple Moving Average (50),Simple Moving Average (100),Simple Moving Average (200),Relative Strength Index (14),Average True Range (14),Bollinger Lower Band (20),Bollinger Upper Band (20),Pattern,Country,Exchange
IRAAW,Iris Acquisition Corp,0.0434,0.0497,0.0433,0.0434,21700,941.78,0,0,0,-13.2,-13.2,8.5,-34.3419062,-58.70599429,-60.07359706,-43.63636364,5.9056344,14.78060046,Finance,Financial Conglomerates,88534555,0.047588,0.03881948,0.06070174,0.09209663,48.83594676,0.01302646,0.03279747,0.06237853,Long Upper Shadow,Cayman Islands,NASDAQ
EBET,"EBET, INC.",0.0505,0.054,0.0459,0.0529,97040462,5133440.4398,-0.0011,-2.03703704,-2.93577982,14.5021645,31.9201995,-32.26632522,-69.26205694,-85.7027027,-96.83233533,-91.34631114,1.6302091,17.64705882,Technology Services,Packaged Software,23701899.85925927,0.04611,0.063222,0.1444488,0.33666656,50.04363116,0.01121683,0.03545938,0.05676062,,United States,NASDAQ
MCOM,micromobility.com Inc.,0.07,0.079,0.0677,0.0745,51085050,3805836.225,0.0071,10.53412463,-9.14634146,7.81476122,6.58082976,5.82386364,-55.6547619,-98.70659722,-99.70669291,-98.85823755,1.7279443,17.13441654,Transportation,Other Transportation,10537399.3768546,0.070545,0.07851,0.247078,3.732089,48.29546514,0.01175903,0.06103091,0.08005909,,United States,NASDAQ
POL,Polished Inc.,0.096,0.1,0.0928,0.0967,3624205,350460.6235,-0.0049,-4.82283465,-12.09090909,-31.41843972,-13.66071429,-26.07033639,-78.97826087,-82.2340621,-86.74071027,-83.58234295,4.3929243,9.48275862,Retail Trade,Electronics/Appliance Stores,10198936.62696851,0.11795,0.262292,0.375962,0.4942832,26.69642677,0.02040265,0.09477247,0.14112753,Spinning Top White,United States,NYSE ARCA
AGRI,AgriFORCE Growing Systems Ltd.,0.1043,0.1132,0.093,0.1066,11412396,1216561.4136,0.0001,0.09389671,-26.48275862,-1.75115207,11.04166667,-14.72,-57.36,-84.77142857,-93.55891239,-90.48214286,0.16438505,21.72043011,Commercial Services,Miscellaneous Commercial Services,4268824.5258216,0.10297,0.123946,0.245987,0.62701952,47.7036731,0.02070092,0.07665414,0.12928586,,Canada,NASDAQ
NAVB,"Navidea Biopharmaceuticals, Inc.",0.1065,0.1205,0.0968,0.0989,25855259,2557085.1151,0.0066,7.15059588,-12.4003543,30.13157895,1.64439877,22.85714286,6.68824164,-68.50318471,-64.67857143,-57.18614719,0.42779174,29.1322314,Health Technology,Medical Specialties,9898344.88840737,0.092295,0.09143,0.105342,0.19260709,52.55049572,0.01670267,0.0661181,0.1184719,,United States,NYSE ARCA
GMBL,Esports Entertainment Group Inc.,0.1117,0.116,0.102,0.1115,7396763,824739.0745,-0.0005,-0.44642857,-7.08333333,-13.56589147,0,-42.8498206,-93.36309524,-94.19270833,-99.3591954,-98.57051282,1.4110951,13.7254902,Consumer Services,Movies/Entertainment,4760834.96428571,0.124965,0.331806,1.060879,3.644016,24.55191967,0.03373207,0.10505819,0.14487181,,Malta,NASDAQ
MIMO,Airspan Networks Holdings Inc.,0.113,0.123,0.11,0.122,2064479,251866.438,0.0051,4.36270317,-3.93700787,-10.02949853,-5.57275542,-17.84511785,-29.52050838,-87.52938771,-96.16352201,-91.28571429,-0.07985075,11.81818182,Electronic Technology,Computer Communications,9099125.26946108,0.134045,0.1502302,0.2147181,0.66996205,41.13198992,0.02411798,0.11775175,0.15033825,,United States,NYSE ARCA
LIFW,"MSP Recovery, Inc.",0.113,0.1184,0.0867,0.0937,30109953,2821302.5961,-0.0285,-23.32242226,-50.15957447,31.97183099,60.17094017,-17.07964602,-79.62600565,-88.70403858,-93.30714286,-94.61494253,-0.07601149,40.94579008,Finance,Insurance Brokers/Services,322240106.0261866,0.079695,0.148482,0.315159,0.712962,47.16485946,0.03119891,0.02219535,0.13719465,,United States,NASDAQ
EJH,E-Home Household Service Holdings Limited,0.1142,0.1236,0.1116,0.119,1572140,187084.66,0.0001,0.08410429,-3.48742903,19.35807422,19,11.7370892,-23.42342342,-88.98148148,-99.68684211,-97.18676123,1.3511454,10.75268817,Consumer Services,Other Consumer Services,16322757.60302776,0.105925,0.112808,0.1574,1.58041495,59.25998832,0.01145337,0.09224057,0.11960943,,China,NASDAQ
TCRT,"Alaunos Therapeutics, Inc.",0.12,0.155,0.12,0.1502,5730112,860662.8224,0.0283,23.21575062,19.11181602,6.5248227,17.80392157,15.44965411,-71.05973025,-69.34693878,-94.05148515,-77.91176471,2.9548337,29.16666667,Health Technology,Biotechnology,36142184.8876128,0.13307,0.291752,0.409851,0.514257,40.14146167,0.02242291,0.11520472,0.15093528,Bullish Engulfing,United States,NASDAQ
AVTX,"Avalo Therapeutics, Inc.",0.12,0.146,0.1071,0.1215,105843552,12859991.568,-0.0019,-1.53970827,-8.30188679,21.5,-12.96561605,-29.36046512,-96.97007481,-94.15865385,-97.06521739,-97.59881423,-0.73587584,36.32119514,Health Technology,Pharmaceuticals: Major,2544869.68395462,0.11415,0.177206,1.401276,2.5032635,41.52871186,0.04793209,0.03972136,0.18857864,Doji,United States,NASDAQ
FOXO,FOXO Technologies Inc.,0.1205,0.1205,0.11,0.1127,4762939,536783.2253,-0.0043,-3.67521368,-17.73722628,-22.96650718,-17.13235294,-13.30769231,-62.55813953,-65.82777441,-97.66182573,-69.34167573,3.111471,9.54545455,Technology Services,Packaged Software,6271151.04358974,0.13539,0.14817,0.240714,0.38482651,39.364534,0.02481325,0.11322364,0.15755636,,United States,NYSE ARCA
RVLP,RVL Pharmaceuticals plc,0.1212,0.1238,0.1151,0.1162,1338252,155504.8824,-0.0049,-4.04624277,-5.14285714,3.75,2.83185841,-35.44444444,-84.92866407,-89.33944954,-95.97923875,-89.98275862,0.8549836,7.55864466,Health Technology,Pharmaceuticals: Major,12945382.38150289,0.119495,0.295082,0.541429,0.866464,32.3712098,0.0295111,0.08958912,0.14940088,,United States,NASDAQ
CNEY,CN Energy Group Inc.,0.1214,0.1274,0.1117,0.1152,905027,104259.1104,-0.0061,-5.02885408,-18.35519741,-27.90988736,-11.38461538,-42.11055276,-45.14285714,-49.91304348,-94.52731591,-85.18709014,0.8814447,14.05550582,Producer Manufacturing,Electrical Products,4886457.29925804,0.14853245,0.17321604,0.19137326,0.3586807,31.67572747,0.01763589,0.09852506,0.19853984,,China,NASDAQ
WNW,Meiwu Technology Company Limited,0.125,0.125,0.1025,0.12,374824,44978.88,0.0005,0.41841004,4.4386423,0,0.84033613,-25,-37.36951983,-28.52888624,-82.18262806,-40.14962594,-0.08552818,21.95121951,Retail Trade,Internet Retail,7313437.65690377,0.12319,0.156859,0.17204171,0.29461436,36.73110369,0.01158708,0.09633223,0.15004777,Long Lower Shadow,China,NASDAQ
SXTC,"China SXT Pharmaceuticals, Inc.",0.1303,0.175,0.1268,0.142,12477935,1771866.77,0.0122,9.3990755,7.82080486,25.66371681,23.90924956,-8.97435897,-35.80470163,-54.19354839,-86.34615385,-72.84375598,1.9228753,38.0126183,Health Technology,Pharmaceuticals: Major,2007645.88597843,0.12916,0.16456198,0.19488696,0.31981022,50.47753751,0.02677758,0.09836257,0.15995743,,China,NASDAQ
