Ticker,Description,Price,Open,High,Low,Pre-market Close,Post-market Close,Volume,Volume*Price,Change,Change %,"Change 1W, %","Change 1M, %",Weekly Performance,Monthly Performance,3-Month Performance,6-Month Performance,Yearly Performance,YTD Performance,1-Year Beta,Volatility,Sector,Industry,Market Capitalization,Simple Moving Average (20),Simple Moving Average (50),Simple Moving Average (100),Simple Moving Average (200),Relative Strength Index (14),Average True Range (14),Bollinger Lower Band (20),Bollinger Upper Band (20),Pattern,Country,Exchange
IRAAW,Iris Acquisition Corp,0.0434,0.0434,0.0497,0.0433,,,21700,941.78,0,0,0,-13.2,-13.2,8.5,-34.3419062,-58.70599429,-60.07359706,-43.63636364,5.9056344,14.78060046,Finance,Financial Conglomerates,88118906,0.047588,0.03881948,0.06070174,0.09209663,48.83594676,0.01302646,0.03279747,0.06237853,Long Upper Shadow,Cayman Islands,NASDAQ
MCOM,micromobility.com Inc.,0.0672,0.0647,0.0725,0.063,0.0648,,40341718,2710963.4496,-0.0018,-2.60869565,-18.04878049,-2.74963821,-6.7961165,1.81818182,-52.67605634,-98.88,-99.70363837,-98.97011494,1.7279443,15.07936508,Transportation,Other Transportation,9504875.13043478,0.07074,0.076834,0.22644,3.62052,44.07107328,0.01130855,0.06227445,0.07920555,,United States,NASDAQ
EBET,"EBET, INC.",0.0804,0.0685,0.0825,0.066,0.0693,,266225565,21404535.426,0.0144,21.81818182,47.52293578,74.02597403,89.62264151,31.80327869,-39.9103139,-78.27027027,-95.06748466,-86.84770162,1.6302091,25,Technology Services,Packaged Software,36023302.83636364,0.04817,0.061162,0.1385348,0.33106956,64.93926172,0.01231605,0.02844001,0.06789999,,United States,NASDAQ
POL,Polished Inc.,0.0946,0.095,0.0973,0.0934,0.0965,,1720938,162800.7348,-0.0044,-4.44444444,-14,-32.90780142,-15.30886303,-31.44927536,-78.64559819,-82.48148148,-86.5625,-83.93887946,4.3929243,5.99571734,Retail Trade,Electronics/Appliance Stores,9977449.57777778,0.114635,0.244422,0.368649,0.4877382,27.03081826,0.01890075,0.08981805,0.13945195,,United States,NYSE ARCA
GMBL,Esports Entertainment Group Inc.,0.1045,0.1048,0.1096,0.1022,0.1049,,7149321,747104.0445,-0.0035,-3.24074074,-12.91666667,-18.99224806,-29.15254237,-46.10624033,-92.42753623,-94.55729167,-99.27681661,-98.66025641,1.4110951,7.2407045,Consumer Services,Movies/Entertainment,4988604.55092593,0.121125,0.292056,1.023004,3.5293285,23.54004708,0.03064194,0.10363399,0.13861601,,Malta,NASDAQ
NAVB,"Navidea Biopharmaceuticals, Inc.",0.0941,0.1053,0.1053,0.092,0.1,,3756018,353441.2938,-0.0058,-5.80580581,-16.65190434,23.81578947,-32.05776173,15.4601227,-5.9,-65.40441176,-65.14814815,-59.26406926,0.42779174,14.45652174,Health Technology,Medical Specialties,9417940.57057057,0.09343,0.090802,0.102172,0.19089559,49.87081295,0.01654567,0.06757671,0.11928329,,United States,NYSE ARCA
CNEY,CN Energy Group Inc.,0.1122,0.1071,0.1148,0.1071,0.1064,,199221,22352.5962,0.0018,1.63043478,-20.48136415,-29.78723404,-5.07614213,-41.31799163,-46.00577478,-50.81104779,-94.9,-85.572843,0.8814447,7.18954248,Producer Manufacturing,Electrical Products,4759205.89673913,0.14071745,0.17029204,0.18950026,0.3523912,31.49095958,0.01636666,0.09444122,0.18699368,,China,NASDAQ
EJH,E-Home Household Service Holdings Limited,0.106,0.1094,0.1195,0.1036,0.1094,,529761,56154.666,-0.0038,-3.46083789,-14.03081914,6.31895687,6.10610611,-1.85185185,-25.82225332,-90.18518519,-99.57936508,-97.49408983,1.3511454,15.34749035,Consumer Services,Other Consumer Services,14539600.05464481,0.10617,0.111186,0.153091,1.52075395,46.44067224,0.0122052,0.09239116,0.11994884,,China,NASDAQ
RVLP,RVL Pharmaceuticals plc,0.1123,0.1131,0.119,0.1076,0.1135,,1216924,136660.5652,-0.0047,-4.01709402,-8.32653061,0.26785714,1.26239856,-30.55040198,-84.18309859,-88.77,-95.97491039,-90.31896552,0.8549836,10.59479554,Health Technology,Pharmaceuticals: Major,12510898.5991453,0.115735,0.280086,0.526618,0.8522605,31.80939959,0.0269896,0.09665399,0.13481601,Spinning Top Black,United States,NASDAQ
FOXO,FOXO Technologies Inc.,0.109601,0.1139,0.1139,0.108,0.1127,,1087733,119216.624533,-0.005399,-4.69478261,-19.99927007,-25.08475735,-15.0379845,-19.99927007,-65.92008706,-67.14598321,-95.1929386,-70.18471164,3.111471,6.48148148,Technology Services,Packaged Software,6098708.56986087,0.13362505,0.14544402,0.23437001,0.38112101,38.73819667,0.02244561,0.10748669,0.15976341,,United States,NYSE ARCA
