Ticker,Description,Open,High,Low,Price,Ask,Bid,Change from Open,Change from Open %,Change,Change %,"Change 1W, %","Change 1M, %",Weekly Performance,Monthly Performance,3-Month Performance,6-Month Performance,Yearly Performance,YTD Performance,Volatility,Volatility Week,Volatility Month,Region,Group,Simple Moving Average (20),Simple Moving Average (50),Simple Moving Average (100),Simple Moving Average (200),Relative Strength Index (14),Average True Range (14),Bollinger Lower Band (20),Bollinger Upper Band (20),Pattern
USDHKD,U.S. DOLLAR / HONG KONG DOLLAR,7.8205,7.8213,7.81748,7.82,7.8208,7.8198,-0.0005,-0.00639345,-0.0001,-0.00127876,-0.07028305,-0.27418224,-0.1047495,-0.22455854,-0.12784147,-0.3607146,-0.37252014,0.13445163,0.04886485,0.08110039,0.07751343,Asia,Exotic,7.832839,7.8233288,7.8271256,7.83178825,40.47223894,0.00629325,7.81301653,7.85266147,
EURDKK,EURO / DANISH KRONE,7.4537,7.45737,7.4537,7.4566,7.45719,7.45633,0.0029,0.03890685,0.0028,0.03756473,-0.01434764,0.05971431,-0.01716305,0.06105702,0.1243397,0.10578999,0.27932322,0.27797464,0.04923729,0.0529995,0.06117334,Europe,Exotic,7.45522,7.4527094,7.4503986,7.44719179,56.61965709,0.00430101,7.45010218,7.46033782,
USDSAR,U.S. DOLLAR / SAUDI ARABIAN RIYAL,3.7489,3.75089,3.7488,3.7488,3.7493,3.7488,-0.0001,-0.00266745,-0.0001,-0.00266745,-0.04186254,0.00533533,0.02721611,0.05150966,0.01920984,-0.14649868,-0.33763126,-0.19169329,0.05575117,0.07086245,0.08944153,Middle East,Exotic,3.748972,3.7485252,3.7484544,3.7504412,49.41900422,0.00334584,3.74668539,3.75125861,"Gravestone Doji, Long Upper Shadow, Shooting Star"
EURRON,EURO / ROMANIAN LEU,4.9695,4.9702,4.9665,4.9665,4.9685,4.9665,-0.003,-0.06036825,-0.0029,-0.05835715,-0.10861039,0.53033217,-0.04830043,0.61587083,0.3116498,0.99767359,0.61790924,0.42665912,0.07449914,0.10628512,0.17072563,Europe,Exotic,4.95897,4.946014,4.9489585,4.93479985,59.36172533,0.0084722,4.93525881,4.98268119,
CADSGD,CANADIAN DOLLAR / SINGAPORE DOLLAR,1.0135,1.0157,1.0129,1.0132,1.014,1.0132,-0.0003,-0.02960039,-0.0003,-0.02960039,0.5358206,1.36054422,0.44611877,1.18845501,-0.89014966,4.70187041,-3.78881398,2.49873546,0.276434,0.35621019,0.33604043,,Exotic,1.003325,1.003602,1.004707,0.9954315,66.87793316,0.00342259,0.98991443,1.01673557,Long Upper Shadow
USDCNH,U.S. DOLLAR / OFFSHORE CHINESE YUAN,7.31376,7.31678,7.29499,7.29878,7.30002,7.29927,-0.01498,-0.20481941,-0.01405,-0.19212808,0.2576916,0.3355617,0.21611854,-0.07351985,1.44083968,6.93744432,3.23388221,5.66349671,0.29869815,0.30568995,0.42267586,Asia,Exotic,7.2967445,7.2538322,7.1891206,7.03028575,52.94481572,0.03167194,7.25091385,7.34257515,
CHFGBP,SWISS FRANC / BRITISH POUND,0.899,0.9017,0.899,0.9001,0.9009,0.9001,0.0011,0.12235818,0.0012,0.1334965,0.10008897,0.79507279,0.08895808,0.95334231,2.68081223,1.45401262,-1.86436982,0.72739481,0.31145717,0.42776343,0.4088689,Europe,Minor,0.897515,0.896382,0.890046,0.890277,57.08770344,0.00384259,0.89333396,0.90169604,
NZDAUD,NEW ZEALAND DOLLAR / AUSTRALIAN DOLLAR,0.92389,0.92667,0.92374,0.92514,0.92549,0.9251,0.00125,0.13529749,0.00084,0.09087958,0.88767721,0.62760369,0.86457845,0.0194603,1.25759317,-0.97511373,4.91137748,-0.66890709,0.31718882,0.3480888,0.37126248,Pacific,Minor,0.9200405,0.9220288,0.9228547,0.9236448,58.00108401,0.00351278,0.91579992,0.92428108,
CHFHKD,SWISS FRANC / HONG KONG DOLLAR,8.647,8.647,8.6183,8.6194,8.6202,8.6194,-0.0276,-0.31918584,-0.0264,-0.30535057,-1.12759099,-2.9128182,-1.39001705,-3.1723921,-1.5117063,0.67510746,6.12672068,2.04579357,0.33301231,0.55994058,0.56654005,,Exotic,8.785095,8.886338,8.811318,8.673635,20.30529836,0.04889281,8.61589908,8.95429092,
GBPCHF,BRITISH POUND / SWISS FRANC,1.11169,1.1123,1.10851,1.11032,1.11066,1.11028,-0.00137,-0.12323579,-0.00113,-0.10166899,-0.08009287,-0.78721864,-0.03331263,-0.91117596,-2.61461412,-1.41267769,1.91377459,-0.70559197,0.34190039,0.50265309,0.48417062,Europe,Minor,1.113327,1.1147162,1.1226851,1.1223614,43.44683625,0.00563183,1.10805472,1.11859928,
CHFTRY,SWISS FRANC / TURKISH LIRA,29.94486,30.03334,29.92896,29.92896,29.99102,29.92896,-0.0159,-0.05309759,-0.05084,-0.16958085,-0.49650412,-0.86137335,-0.5118185,-3.19672158,7.66471331,43.95774912,57.76995256,48.16866963,0.3487592,0.95574536,1.41971549,,Exotic,30.101733,30.5379586,28.0228302,24.3459398,42.80446053,0.31986036,29.84700266,30.35646334,"Inverted Hammer, Long Upper Shadow"
