Ticker,Description,Open,High,Low,Price,Ask,Bid,Change from Open,Change from Open %,Change,Change %,"Change 1W, %","Change 1M, %",Weekly Performance,Monthly Performance,3-Month Performance,6-Month Performance,Yearly Performance,YTD Performance,Volatility,Volatility Week,Volatility Month,Region,Group,Simple Moving Average (20),Simple Moving Average (50),Simple Moving Average (100),Simple Moving Average (200),Relative Strength Index (14),Average True Range (14),Bollinger Lower Band (20),Bollinger Upper Band (20),Pattern
EURDKK,EURO / DANISH KRONE,7.4537,7.45644,7.4537,7.45631,7.45727,7.45594,0.00261,0.03501617,0.00251,0.0336741,-0.01823626,0.05582282,-0.02105156,0.05716548,0.12044569,0.1018967,0.27542319,0.27407466,0.03676027,0.0505041,0.06060621,Europe,Exotic,7.4552055,7.4527036,7.4503957,7.44719034,55.84136836,0.00423458,7.45010177,7.46030923,
USDHKD,U.S. DOLLAR / HONG KONG DOLLAR,7.8205,7.8213,7.81748,7.82014,7.82053,7.82029,-0.00036,-0.00460329,0.00004,0.0005115,-0.06849403,-0.27239686,-0.10296109,-0.22277228,-0.12605348,-0.35893078,-0.37073653,0.13624432,0.04886485,0.08110039,0.07751343,Asia,Exotic,7.832846,7.8233316,7.827127,7.83178895,40.61375588,0.00629325,7.81304158,7.85265042,
USDSAR,U.S. DOLLAR / SAUDI ARABIAN RIYAL,3.7489,3.75089,3.7488,3.7488,3.7493,3.7488,-0.0001,-0.00266745,-0.0001,-0.00266745,-0.04186254,0.00533533,0.02721611,0.05150966,0.01920984,-0.14649868,-0.33763126,-0.19169329,0.05575117,0.07086245,0.08944153,Middle East,Exotic,3.748972,3.7485252,3.7484544,3.7504412,49.41900422,0.00334584,3.74668539,3.75125861,"Gravestone Doji, Long Upper Shadow, Shooting Star"
EURRON,EURO / ROMANIAN LEU,4.9695,4.9702,4.9666,4.96741,4.96885,4.96745,-0.00209,-0.04205654,-0.00199,-0.04004508,-0.09030753,0.5487521,-0.02998652,0.63430644,0.33002967,1.01617915,0.63634522,0.44506006,0.07248419,0.10588213,0.17063404,Europe,Exotic,4.9590155,4.9460322,4.9489676,4.9348044,60.45776308,0.00846506,4.93524328,4.98278772,
CADSGD,CANADIAN DOLLAR / SINGAPORE DOLLAR,1.0135,1.0157,1.0135,1.0141,1.0149,1.0141,0.0006,0.05920079,0.0006,0.05920079,0.62512403,1.45058023,0.53534252,1.27833816,-0.80211288,4.79487444,-3.70335201,2.5897825,0.21706956,0.3443373,0.33334204,,Exotic,1.00337,1.00362,1.004716,0.995436,68.47204073,0.00337973,0.98982185,1.01691815,Shooting Star
CHFEUR,SWISS FRANC / EURO,1.0367,1.0386,1.0359,1.0359,1.0367,1.0359,-0.0008,-0.07716794,-0.0009,-0.08680556,-0.83285468,-0.75684997,-1.22055879,-1.04126863,1.57874093,2.92101341,-1.42734799,2.57451233,0.26064292,0.44157095,0.34020632,Europe,Minor,1.044065,1.043,1.03446,1.0221055,37.60351518,0.00387584,1.03748312,1.05064688,Inverted Hammer
CHFHKD,SWISS FRANC / HONG KONG DOLLAR,8.647,8.647,8.6225,8.6404,8.6412,8.6404,-0.0066,-0.07632705,-0.0054,-0.06245807,-0.88670177,-2.67627844,-1.14976719,-2.93648476,-1.27175292,0.92038871,6.38528405,2.29441432,0.28414033,0.55016618,0.5643186,,Exotic,8.786145,8.886758,8.811528,8.67374,21.81040027,0.04859281,8.62085976,8.95143024,Hammer
USDCNH,U.S. DOLLAR / OFFSHORE CHINESE YUAN,7.31376,7.31678,7.2956,7.29798,7.29978,7.29808,-0.01578,-0.2157577,-0.01485,-0.20306776,0.24670262,0.32456419,0.20513412,-0.08447253,1.42972102,6.92572319,3.22256702,5.65191522,0.29031197,0.30401272,0.42229467,Asia,Exotic,7.2967045,7.2538162,7.1891126,7.03028175,52.75423358,0.03162836,7.25087963,7.34252937,
CHFTRY,SWISS FRANC / TURKISH LIRA,29.94486,30.0314,29.942,29.99343,30.04684,30.02069,0.04857,0.16219812,0.01363,0.04546395,-0.28216355,-0.64781874,-0.29751091,-2.98819755,7.89663397,44.26784864,58.10980496,48.4878399,0.29857725,0.94570898,1.41743449,,Exotic,30.1049565,30.539248,28.0234749,24.34626215,44.58933403,0.31879036,29.85752613,30.35238687,
CHFDKK,SWISS FRANC / DANISH KRONE,7.7301,7.7449,7.7216,7.7266,7.7282,7.7267,-0.0035,-0.04527755,-0.0048,-0.06208449,-0.85203578,-0.70934745,-1.248674,-1.00067908,1.71812077,3.01171891,-1.15771834,2.82664821,0.30175093,0.48746053,0.39656821,Europe,Exotic,7.785269,7.7753622,7.7096604,7.61422685,38.71493429,0.03329821,7.73514994,7.83538806,
