Ticker,Description,Open,High,Low,Price,Ask,Bid,Change from Open,Change from Open %,Change,Change %,"Change 1W, %","Change 1M, %",Weekly Performance,Monthly Performance,3-Month Performance,6-Month Performance,Yearly Performance,YTD Performance,Volatility,Volatility Week,Volatility Month,Region,Group,Simple Moving Average (20),Simple Moving Average (50),Simple Moving Average (100),Simple Moving Average (200),Relative Strength Index (14),Average True Range (14),Bollinger Lower Band (20),Bollinger Upper Band (20),Pattern
EURDKK,EURO / DANISH KRONE,7.45576,7.45782,7.45576,7.45681,7.45772,7.4566,0.00105,0.01408307,0.00011,0.00147518,0.01891247,0.06253229,0.02119318,0.05165733,0.1481376,0.11304456,0.27850621,0.28079877,0.02762964,0.04360482,0.06221265,Europe,Exotic,7.4556115,7.4529774,7.4506194,7.44736534,57.46643267,0.0041422,7.45086436,7.46035864,
USDHKD,U.S. DOLLAR / HONG KONG DOLLAR,7.8158,7.82202,7.8158,7.82085,7.82115,7.82085,0.00505,0.06461271,0.00535,0.06845371,0.01470645,-0.26334247,0.03773392,-0.24807724,-0.14848426,-0.36194495,-0.3624527,0.14533581,0.08342076,0.07245812,0.07959287,Asia,Exotic,7.830065,7.8235268,7.8265884,7.8321255,43.55392547,0.00635698,7.81042515,7.84970485,
EURRON,EURO / ROMANIAN LEU,4.9661,4.97151,4.9661,4.97138,4.97305,4.97145,0.00528,0.10632086,0.00508,0.10228943,0.088182,0.62911159,0.07004972,0.67802102,0.49241766,0.51314193,1.28310651,0.52533668,0.1089386,0.09187788,0.16667623,Europe,Exotic,4.961894,4.9471496,4.9500467,4.93541975,63.34380557,0.008216,4.94128124,4.98250676,
CHFEUR,SWISS FRANC / EURO,1.0346,1.035,1.0337,1.0339,1.0347,1.0339,-0.0007,-0.067659,-0.0007,-0.067659,-0.14487155,-0.94845756,-0.77735125,-1.10005739,1.30315501,3.02939711,-1.5801999,2.37647292,0.12576183,0.4078918,0.33801931,Europe,Minor,1.042895,1.042926,1.034692,1.0222935,35.06933802,0.00368209,1.03411856,1.05167144,
USDSAR,U.S. DOLLAR / SAUDI ARABIAN RIYAL,3.74637,3.75117,3.74637,3.75093,3.75153,3.75093,0.00456,0.12171782,0.00203,0.05414922,0.05681818,0.06215654,0.07443692,0.11423538,0.06749546,-0.04982946,-0.29425837,-0.13498403,0.12812402,0.07118483,0.08635935,Middle East,Exotic,3.7490385,3.7486066,3.7484927,3.75034285,57.58725573,0.00337438,3.74660154,3.75147546,
USDCNH,U.S. DOLLAR / OFFSHORE CHINESE YUAN,7.31349,7.31589,7.30607,7.30733,7.30826,7.30667,-0.00616,-0.08422791,-0.0064,-0.08750665,0.12935246,0.45309766,0.21778933,0.35101356,1.19203739,6.0110344,2.46510917,5.78727396,0.13440879,0.275841,0.41554192,Asia,Exotic,7.299162,7.2589206,7.1969016,7.0336643,54.41387242,0.02963407,7.25335157,7.34497243,
CADGBP,CANADIAN DOLLAR / BRITISH POUND,0.6082,0.6087,0.6076,0.6076,0.6084,0.6076,-0.0006,-0.09865176,-0.0007,-0.1150748,0.31368664,4.09456913,1.57138081,4.0589142,2.27234472,1.53743316,-10.2776137,-0.31173093,0.18104016,0.43776326,0.47853729,Americas,Minor,0.592925,0.588226,0.590367,0.5973725,81.1766562,0.0028675,0.57510604,0.61074396,
CHFDKK,SWISS FRANC / DANISH KRONE,7.7178,7.72118,7.7059,7.7127,7.7119,7.7102,-0.0051,-0.06608101,-0.0053,-0.06867064,-0.12043512,-0.88796936,-0.73425786,-1.05453566,1.47154595,3.13578134,-1.37716741,2.64166511,0.19828962,0.46289054,0.39393144,Europe,Exotic,7.777086,7.7751202,7.7116796,7.61580895,36.36815252,0.03181944,7.71170708,7.84246492,
CHFSGD,SWISS FRANC / SINGAPORE DOLLAR,1.49697,1.49943,1.49632,1.49751,1.49788,1.49753,0.00054,0.03607287,0.00042,0.02805443,-0.49106253,-2.05182879,-1.41604456,-2.08385097,-0.8008744,3.57083575,2.69578933,3.32857232,0.20784324,0.50849691,0.42119193,,Exotic,1.520845,1.5297564,1.515096,1.48396335,20.23566037,0.00663289,1.49946385,1.54222615,
SGDCHF,SINGAPORE DOLLAR / SWISS FRANC,0.6673,0.6683,0.6669,0.6677,0.6678,0.6677,0.0004,0.05994305,0.0006,0.08994154,0.57237536,2.21984078,1.52045005,2.345187,0.89150801,-3.32995512,-2.55399883,-2.8658714,0.20992653,0.51482959,0.40879716,,Exotic,0.65669,0.652764,0.659283,0.6734435,80.47855345,0.00280886,0.64717519,0.66620481,
