Ticker,Description,Open,High,Low,Price,Ask,Bid,Change from Open,Change from Open %,Change,Change %,"Change 1W, %","Change 1M, %",Weekly Performance,Monthly Performance,3-Month Performance,6-Month Performance,Yearly Performance,YTD Performance,Volatility,Volatility Week,Volatility Month,Region,Group,Simple Moving Average (20),Simple Moving Average (50),Simple Moving Average (100),Simple Moving Average (200),Relative Strength Index (14),Average True Range (14),Bollinger Lower Band (20),Bollinger Upper Band (20),Pattern
EURDKK,EURO / DANISH KRONE,7.45615,7.45932,7.45615,7.45857,7.4596,7.45818,0.00242,0.03245643,0.00192,0.02574883,0.02762687,0.02762687,0.03768898,0.08144918,0.14729577,0.12282835,0.3197127,0.30446763,0.04251524,0.05913616,0.06602925,Europe,Exotic,7.456482,7.4535372,7.451069,7.44786619,60.19522299,0.00426528,7.45267913,7.46028487,
USDSAR,U.S. DOLLAR / SAUDI ARABIAN RIYAL,3.7485,3.7505,3.7485,3.7485,3.7489,3.7484,0,0,0,0,0.00533575,0.00533575,0.05685504,-0.04293207,0.0026678,-0.02133732,-0.22624434,-0.19968051,0.05335468,0.0608408,0.08208467,Middle East,Exotic,3.748929,3.7486858,3.7484774,3.7500487,48.05914606,0.00301145,3.74671458,3.75114342,"Gravestone Doji, Long Upper Shadow"
USDHKD,U.S. DOLLAR / HONG KONG DOLLAR,7.8318,7.8342,7.82855,7.83163,7.83216,7.83175,-0.00017,-0.00217064,-0.00017,-0.00217064,0.01187633,0.01187633,0.20253845,-0.12510457,0.01289808,-0.22765781,-0.23147087,0.28337282,0.07217173,0.07162502,0.08350573,Asia,Exotic,7.8268415,7.8251644,7.8261787,7.83283225,55.10686847,0.00617261,7.81206899,7.84161401,Doji
USDINR,U.S. DOLLAR / INDIAN RUPEE,83.187,83.2325,83.143,83.196,83.246,83.196,0.009,0.010819,-0.004,-0.00480769,0.16856097,0.16856097,0.15770782,0.62165889,1.55017943,1.55141898,2.07972908,0.60340762,0.10764586,0.17900495,0.25825273,Asia,Exotic,83.0711,82.85624,82.55596,82.34037,56.62937609,0.2071107,82.80387358,83.33832642,Spinning Top White
EURRON,EURO / ROMANIAN LEU,4.973,4.9758,4.9701,4.9742,4.9762,4.9742,0.0012,0.0241303,0.0015,0.0301647,0.03821169,0.03821169,0.16310586,0.68823125,0.4543894,0.93340368,0.50919378,0.58235936,0.11468582,0.20001868,0.18422641,Europe,Exotic,4.968985,4.951652,4.9520829,4.93711235,61.7087979,0.00880509,4.95968763,4.97828237,
CADGBP,CANADIAN DOLLAR / BRITISH POUND,0.6046,0.6047,0.6032,0.6035,0.6043,0.6035,-0.0011,-0.18193847,-0.0011,-0.18193847,0.033151,0.033151,-0.77277211,3.3921535,1.51387721,1.27538178,-6.7953668,-0.98441345,0.24867374,0.47146408,0.46359253,Americas,Minor,0.59737,0.589492,0.59087,0.597291,65.7253585,0.00282992,0.58110518,0.61363482,
USDCNH,U.S. DOLLAR / OFFSHORE CHINESE YUAN,7.31969,7.33133,7.31263,7.31813,7.31922,7.31848,-0.00156,-0.02131238,-0.00165,-0.02254166,0.34512736,0.34512736,0.06700186,0.61871574,1.29628707,6.31037779,2.47874283,5.94362417,0.25572195,0.34208063,0.393648,Asia,Exotic,7.3061415,7.2717884,7.2142342,7.04175655,55.86755204,0.02824081,7.26541793,7.34686507,
SGDHKD,SINGAPORE DOLLAR / HONG KONG DOLLAR,5.7004,5.7062,5.6911,5.7032,5.7048,5.7033,0.0028,0.04911936,-0.0003,-0.00525993,-0.48334468,-0.48334468,-0.26929668,-1.63504657,-1.67405134,-3.44197071,4.3013899,-2.11955309,0.26532656,0.50019652,0.3689903,Asia,Exotic,5.729445,5.772406,5.799071,5.8398695,35.52976597,0.02230852,5.697972,5.760918,
CADSGD,CANADIAN DOLLAR / SINGAPORE DOLLAR,1.0036,1.0041,1.0011,1.0011,1.0019,1.0011,-0.0025,-0.24910323,-0.0027,-0.26897788,-0.45739286,-0.45739286,-1.35973988,0.11,-1.86256249,1.4696939,-3.52703093,1.27465857,0.29967036,0.53025208,0.38600292,,Exotic,1.00774,1.004068,1.006043,0.9960285,41.4649663,0.00403252,0.99631364,1.01916636,
GBPSGD,BRITISH POUND / SINGAPORE DOLLAR,1.65849,1.66218,1.65714,1.65828,1.65863,1.65829,-0.00021,-0.01266212,-0.00029,-0.01748494,-0.42752492,-0.42752492,-0.54457346,-3.06367606,-3.24861724,0.25149324,3.58423387,2.37939422,0.30413846,0.48878321,0.46564599,,Exotic,1.681666,1.7006058,1.7007276,1.6667437,23.63810962,0.00825648,1.64985472,1.71347728,
USDSGD,U.S. DOLLAR / SINGAPORE DOLLAR,1.37205,1.37633,1.37205,1.37292,1.37321,1.3729,0.00087,0.06340877,0.00052,0.03788983,0.56548491,0.56548491,0.55222722,1.68271367,1.7641129,3.41523675,-4.31279621,2.44524867,0.31194198,0.5131471,0.37775902,Asia,Exotic,1.365157,1.3548148,1.3487372,1.340553,67.48701673,0.00552228,1.35778145,1.37253255,"Long Upper Shadow, Shooting Star"
EURSGD,EURO / SINGAPORE DOLLAR,1.43814,1.4409,1.4364,1.43726,1.43772,1.43738,-0.00088,-0.06119015,-0.00054,-0.03755738,-0.47365141,-0.47365141,-0.65457964,-1.80705194,-2.05597541,-0.75953213,2.15793589,0.24830857,0.31328321,0.48118544,0.41938024,,Exotic,1.452356,1.4630242,1.4633195,1.45134635,29.96519912,0.00649337,1.43583191,1.46888009,
GBPRON,BRITISH POUND / ROMANIAN LEU,5.7369,5.7447,5.7257,5.738,5.74,5.738,0.0011,0.01917412,0.0017,0.02963583,-0.01742464,-0.01742464,0.22007196,-0.6389721,-0.83473031,1.80076288,1.82244069,2.6016987,0.33183716,0.40866697,0.4567544,Europe,Exotic,5.75612,5.757278,5.758056,5.6724145,45.74487656,0.025343,5.70668481,5.80555519,Spinning Top White
GBPHKD,BRITISH POUND / HONG KONG DOLLAR,9.466,9.474,9.442,9.458,9.462,9.458,-0.008,-0.08451299,-0.008,-0.08451299,-0.97372003,-0.97372003,-0.89070523,-4.82994566,-4.98292144,-3.29243354,7.96803653,0.11643908,0.33891125,0.65146734,0.56207744,,Exotic,9.6436,9.82516,9.87127,9.74009,23.48503836,0.05806149,9.41110794,9.87609206,
GBPEUR,BRITISH POUND / EURO,1.15324,1.15479,1.1507,1.15362,1.15366,1.15355,0.00038,0.03295064,0.00052,0.04509583,0.01907404,0.01907404,0.10152284,-1.26244255,-1.24131082,1.00159344,1.33696416,2.11737629,0.35543582,0.38175357,0.42597133,Europe,Minor,1.1579635,1.1622386,1.162126,1.14820525,42.13746819,0.00484643,1.14708678,1.16884022,
GBPDKK,BRITISH POUND / DANISH KRONE,8.5949,8.61315,8.582,8.60443,8.6063,8.6039,0.00953,0.11087971,0.0064,0.07443566,0.16075673,0.16075673,0.17848203,-1.20184634,-1.10987243,1.1221126,1.59912623,2.52767418,0.362969,0.40833059,0.44264838,Europe,Exotic,8.6336085,8.6629978,8.6593512,8.55038625,43.46320215,0.03762317,8.55066366,8.71655334,
EURGBP,EURO / BRITISH POUND,0.86644,0.86911,0.86591,0.86669,0.86685,0.86679,0.00025,0.0288537,-0.00008,-0.00922967,0,0,-0.06111483,1.30919122,1.30563868,-0.95424209,-1.30276838,-2.0512183,0.36955342,0.39663505,0.44594104,Europe,Minor,0.863107,0.8599194,0.8600248,0.87059455,58.64751622,0.00377893,0.85501803,0.87119597,Long Upper Shadow
GBPCAD,BRITISH POUND / CANADIAN DOLLAR,1.65224,1.65891,1.65224,1.65596,1.65614,1.65584,0.00372,0.22514889,0.00371,0.22454229,-0.01992405,-0.01992405,0.7992306,-3.24906373,-1.48372895,-1.1933459,7.30133223,1.01382264,0.40369438,0.56912499,0.59537908,Europe,Minor,1.669042,1.693934,1.6906106,1.67314845,37.46172958,0.00974119,1.62494854,1.71313546,
CHFCAD,SWISS FRANC / CANADIAN DOLLAR,1.4887,1.491,1.485,1.4883,1.4899,1.4883,-0.0004,-0.02686908,-0.0003,-0.02015316,0.35061695,0.35061695,0.9496032,-2.60454159,1.03183762,0.30327537,6.29195829,1.59737866,0.4040404,0.65210181,0.52720207,Europe,Minor,1.499025,1.519008,1.505703,1.4903545,40.35998174,0.00834441,1.45914388,1.53890612,Spinning Top Black
USDRON,U.S. DOLLAR / ROMANIAN LEU,4.744,4.7602,4.74104,4.7508,4.7533,4.7508,0.0068,0.14333895,0.007,0.14756103,1.03570745,1.03570745,1.36770009,4.30773284,4.42925285,5.0899197,-5.96571791,2.53798123,0.40413074,0.74113792,0.67194744,Europe,Exotic,4.668055,4.57819,4.557263,4.55447485,70.97649365,0.03351757,4.58560413,4.75050587,
GBPUSD,BRITISH POUND / U.S. DOLLAR,1.2087,1.2102,1.2053,1.2079,1.2079,1.2078,-0.0008,-0.06618681,-0.0006,-0.04964832,-0.96745101,-0.96745101,-1.07289107,-4.67208587,-4.96459481,-3.05000401,8.23476703,-0.14879722,0.40653779,0.7149291,0.63584221,Europe,Major,1.232085,1.255536,1.261282,1.2434655,22.70781789,0.00825694,1.20334518,1.26082482,
EURHKD,EURO / HONG KONG DOLLAR,8.2057,8.21735,8.18376,8.19909,8.20092,8.19941,-0.00661,-0.08055376,-0.00661,-0.08055376,-0.97119391,-0.97119391,-0.94607002,-3.56530412,-3.75706056,-4.22295166,6.56472576,-1.88955367,0.41044703,0.73449303,0.60415666,,Exotic,8.3253845,8.4508298,8.491662,8.4803034,28.89659483,0.05343896,8.18881148,8.46195752,Spinning Top Black
CHFGBP,SWISS FRANC / BRITISH POUND,0.9008,0.9013,0.8975,0.8989,0.8997,0.8989,-0.0019,-0.21092362,-0.0018,-0.19984457,0.39088675,0.39088675,0.15598886,0.66069429,2.55561894,1.58209967,-1.18720457,0.59310654,0.42339833,0.46489293,0.4034914,Europe,Minor,0.898,0.8966,0.890446,0.890543,53.51747419,0.00383391,0.89435144,0.90164856,
USDDKK,U.S. DOLLAR / DANISH KRONE,7.11545,7.13849,7.10793,7.12391,7.1247,7.12342,0.00846,0.1188962,0.0095,0.1335318,1.05180886,1.05180886,1.19995341,3.65759966,4.09062018,4.32032778,-6.08640055,2.5495192,0.42994233,0.74430027,0.61265517,Europe,Exotic,7.0086735,6.9016126,6.8672458,6.8790852,72.24713178,0.04532658,6.89664915,7.12069785,
EURUSD,EURO / U.S. DOLLAR,1.04788,1.04935,1.04484,1.04687,1.04707,1.04687,-0.00101,-0.09638508,-0.00087,-0.08303587,-0.9668051,-0.9668051,-1.15382073,-3.42616766,-3.76264019,-4.00443817,7.01566078,-2.17996636,0.43164504,0.74860992,0.61584543,Europe,Major,1.0636625,1.0799122,1.0849742,1.0826072,28.23607124,0.0069702,1.04669318,1.08063182,
