Ticker,Description,Open,High,Low,Price,Ask,Bid,Change from Open,Change from Open %,Change,Change %,"Change 1W, %","Change 1M, %",Weekly Performance,Monthly Performance,3-Month Performance,6-Month Performance,Yearly Performance,YTD Performance,Volatility,Volatility Week,Volatility Month,Region,Group,Simple Moving Average (20),Simple Moving Average (50),Simple Moving Average (100),Simple Moving Average (200),Relative Strength Index (14),Average True Range (14),Bollinger Lower Band (20),Bollinger Upper Band (20),Pattern
USDHKD,U.S. DOLLAR / HONG KONG DOLLAR,7.8307,7.8328,7.8303,7.8313,7.8323,7.8313,0.0006,0.00766215,0.0006,0.00766215,0.00766215,0.00766215,0.14578192,-0.12931298,-0.03114732,-0.22499796,-0.23414967,0.27914719,0.03192726,0.075359,0.0802252,Asia,Exotic,7.8272905,7.8247462,7.8262345,7.8326736,54.84577692,0.00621281,7.81139676,7.84318424,
USDSAR,U.S. DOLLAR / SAUDI ARABIAN RIYAL,3.7483,3.7504,3.7483,3.7485,3.749,3.7485,0.0002,0.00533575,0.0002,0.00533575,0.00533575,0.00533575,-0.01333689,-0.04293207,0.0026678,0,-0.25279404,-0.19968051,0.0560254,0.07595482,0.07965946,Middle East,Exotic,3.748949,3.7486778,3.7484714,3.7501037,48.05914606,0.00308925,3.74674324,3.75115476,"Inverted Hammer, Long Upper Shadow"
EURDKK,EURO / DANISH KRONE,7.458,7.46181,7.45251,7.45657,7.45735,7.45655,-0.00143,-0.01917404,0.00006,0.00080467,0.00080467,0.00080467,0.01032753,0.05461255,0.13940015,0.06427994,0.27258179,0.2775712,0.12479017,0.0568567,0.06409674,Europe,Exotic,7.456206,7.4533812,7.4509473,7.44775304,54.98409206,0.00434954,7.45226541,7.46014659,Spinning Top Black
EURRON,EURO / ROMANIAN LEU,4.9732,4.9751,4.9655,4.9731,4.9751,4.9731,-0.0001,-0.00201078,0.0008,0.01608913,0.01608913,0.01608913,0.23380026,0.66596494,0.40176048,1.02198144,0.50727567,0.56011647,0.193334,0.20889722,0.17901342,Europe,Exotic,4.96808,4.950678,4.9518279,4.93686735,60.7768491,0.00904394,4.95741931,4.97874069,Long Lower Shadow
CADGBP,CANADIAN DOLLAR / BRITISH POUND,0.6033,0.6046,0.6032,0.6046,0.6054,0.6046,0.0013,0.21548152,0.0013,0.21548152,0.21548152,0.21548152,-0.14863749,3.58060648,1.75025244,1.69890664,-7.90555979,-0.80393765,0.23209549,0.42647209,0.44926418,Americas,Minor,0.5963,0.589254,0.590758,0.5973225,68.91367573,0.00291079,0.57900595,0.61359405,
GBPEUR,BRITISH POUND / EURO,1.1534,1.15557,1.15288,1.1534,1.15383,1.1534,0,0,0,0,0,0,0.33927795,-1.2812722,-0.77511377,1.12221638,1.85536785,2.0979021,0.23332871,0.39528233,0.40981516,Europe,Minor,1.1588725,1.1624998,1.1620808,1.14809015,41.55763096,0.00490462,1.14673552,1.17100948,Long Upper Shadow
EURGBP,EURO / BRITISH POUND,0.86669,0.8675,0.86533,0.8664,0.86697,0.86635,-0.00029,-0.03346064,-0.00029,-0.03346064,-0.03346064,-0.03346064,-0.37142233,1.27529252,0.7664484,-1.10717955,-1.80878553,-2.08399259,0.25077138,0.41040318,0.42914316,Europe,Minor,0.8624045,0.8597142,0.8600538,0.87068175,58.06128842,0.00382347,0.85341756,0.87139144,Spinning Top Black
CADNZD,CANADIAN DOLLAR / NEW ZEALAND DOLLAR,1.227,1.2302,1.227,1.2286,1.2306,1.2286,0.0016,0.13039935,0.0016,0.13039935,0.13039935,0.13039935,-1.17438867,-0.88738303,0.22842225,4.33084239,-3.60897536,5.81345276,0.2607987,0.65247308,0.49349891,Americas,Minor,1.2454,1.238742,1.226808,1.202465,37.64959898,0.00687168,1.23182311,1.25897689,Bullish Harami
USDINR,U.S. DOLLAR / INDIAN RUPEE,83.01,83.23,83.01,83.2,83.21,83.2,0.19,0.22888809,0.144,0.173377,0.173377,0.173377,0.32315632,0.6264967,1.5563015,1.3768734,2.11972064,0.60824456,0.26502831,0.20466773,0.25335973,Asia,Exotic,83.06195,82.8294,82.54644,82.33764,56.77332238,0.21615768,82.79997636,83.32392364,
GBPRON,BRITISH POUND / ROMANIAN LEU,5.7314,5.747,5.7314,5.7369,5.7389,5.7369,0.0055,0.09596259,-0.0021,-0.03659174,-0.03659174,-0.03659174,0.55387096,-0.65802005,-0.40795778,1.96214343,2.26385497,2.5820295,0.27218481,0.41165034,0.4416709,Europe,Exotic,5.759665,5.757466,5.75755,5.671577,45.36689676,0.02583092,5.70611344,5.81321656,
CADEUR,CANADIAN DOLLAR / EURO,0.6963,0.698,0.6961,0.6977,0.6981,0.6977,0.0014,0.20106276,0.0014,0.20106276,0.20106276,0.20106276,0.17229002,2.22710623,0.92579199,2.81461833,-6.22311828,1.24800464,0.27294929,0.64716442,0.53772858,Americas,Minor,0.69307,0.685888,0.687187,0.6861415,59.03503797,0.00392416,0.67957495,0.70656505,
NZDGBP,NEW ZEALAND DOLLAR / BRITISH POUND,0.4912,0.4922,0.49071,0.4916,0.49215,0.4919,0.0004,0.08143322,0.0004,0.08143322,0.08143322,0.08143322,1.00678036,4.46682817,1.44239698,-2.56471241,-4.4769159,-6.25476735,0.30364166,0.56299242,0.58772576,Pacific,Minor,0.479577,0.4756272,0.4814109,0.4967643,77.41050507,0.00302607,0.4640663,0.4950877,
GBPDKK,BRITISH POUND / DANISH KRONE,8.59062,8.6169,8.59062,8.6023,8.6057,8.5994,0.01168,0.13596225,0.01168,0.13596225,0.13596225,0.13596225,0.37806742,-1.22630352,-0.61119327,1.23783117,2.16229248,2.50229377,0.30591506,0.42025304,0.42614979,Europe,Exotic,8.6401455,8.6648156,8.6588718,8.5493447,42.91888252,0.0381211,8.54863241,8.73165859,
HKDJPY,HONG KONG DOLLAR / JAPANESE YEN,19.074,19.13441,19.074,19.1311,19.13752,19.13032,0.0571,0.29936039,0.0599,0.31408616,0.31408616,0.31408616,0.83222651,3.09860035,3.61488459,14.03082649,3.94992434,14.01200246,0.33139352,0.43843863,0.53344754,,Exotic,18.916337,18.6291078,18.2998663,17.6268621,69.05921083,0.10859974,18.67769639,19.15497761,
NZDCAD,NEW ZEALAND DOLLAR / CANADIAN DOLLAR,0.81415,0.81505,0.81216,0.81302,0.81342,0.81302,-0.00113,-0.13879506,-0.00113,-0.13879506,-0.13879506,-0.13879506,1.18229789,0.90602194,-0.22458121,-4.11029993,3.78492922,-5.46608839,0.35584121,0.78814166,0.63617959,Pacific,Minor,0.8019675,0.8062842,0.814252,0.83101935,62.54669557,0.00567092,0.79311822,0.81081678,
