Ticker,Description,Open,High,Low,Price,Ask,Bid,Change from Open,Change from Open %,Change,Change %,"Change 1W, %","Change 1M, %",Weekly Performance,Monthly Performance,3-Month Performance,6-Month Performance,Yearly Performance,YTD Performance,Volatility,Volatility Week,Volatility Month,Region,Group,Simple Moving Average (20),Simple Moving Average (50),Simple Moving Average (100),Simple Moving Average (200),Relative Strength Index (14),Average True Range (14),Bollinger Lower Band (20),Bollinger Upper Band (20),Pattern
EURDKK,EURO / DANISH KRONE,7.4566,7.45811,7.45613,7.45613,7.45712,7.45608,-0.00047,-0.00630314,-0.00074,-0.00992373,-0.00509622,-0.00509622,0.00509674,0.04025155,0.10593107,0.05327314,0.23957055,0.27165398,0.02655533,0.05387408,0.0575877,Europe,Exotic,7.4563075,7.453847,7.4513401,7.44817064,52.80940258,0.00391429,7.45289437,7.45972063,"Long Upper Shadow, Shooting Star"
USDHKD,U.S. DOLLAR / HONG KONG DOLLAR,7.8301,7.8326,7.83,7.83212,7.83265,7.83212,0.00202,0.02579788,0.00192,0.02452045,0.01813376,0.01813376,0.04240752,-0.1098112,0.13693183,-0.21861878,-0.21798317,0.28964722,0.03320562,0.04843661,0.0751284,Asia,Exotic,7.825382,7.8270124,7.8263636,7.83328855,55.45020322,0.00563596,7.81480893,7.83595507,
USDSAR,U.S. DOLLAR / SAUDI ARABIAN RIYAL,3.7485,3.7507,3.7485,3.7505,3.749,3.7485,0.002,0.05335468,0,0,0.05869327,0.05869327,0.05869327,0.04267919,0.06456639,0.03200597,-0.25265957,-0.14643237,0.05869014,0.04428498,0.07812517,Middle East,Exotic,3.7491385,3.7487806,3.7485544,3.7499727,58.29491508,0.0028864,3.74677828,3.75149872,
USDINR,U.S. DOLLAR / INDIAN RUPEE,83.199,83.255,83.15,83.15,83.199,83.149,-0.049,-0.05889494,-0.049,-0.05889494,0.11317665,0.11317665,-0.01923863,0.16503439,0.49795741,1.65036675,1.86081268,0.54778287,0.12627781,0.14763391,0.23680306,Asia,Exotic,83.08575,82.92264,82.57224,82.345565,54.3505795,0.18598331,82.81019901,83.36130099,
CHFEUR,SWISS FRANC / EURO,1.0384,1.0397,1.0383,1.039,1.0398,1.039,0.0006,0.0577812,0.0006,0.0577812,0.5710967,0.5710967,0.48355899,-0.8776951,1.36585366,2.68827832,1.01108303,2.88147341,0.13483579,0.36332843,0.35838113,Europe,Minor,1.03905,1.042018,1.035541,1.0232585,49.18482912,0.00361286,1.03024466,1.04785534,
CHFDKK,SWISS FRANC / DANISH KRONE,7.74355,7.7556,7.7411,7.7498,7.7522,7.7508,0.00625,0.08071233,0.0041,0.05293259,0.55925364,0.55925364,0.50617513,-0.83936843,1.48632191,2.78617404,1.33769206,3.13539698,0.18731188,0.43761274,0.41795244,Europe,Exotic,7.749056,7.7691314,7.7186896,7.6237917,49.6258847,0.03165502,7.68288713,7.81522487,
GBPEUR,BRITISH POUND / EURO,1.15546,1.157,1.15452,1.15578,1.15585,1.15569,0.00032,0.0276946,0.00038,0.03288904,0.20634645,0.20634645,0.09353079,-1.35870957,-1.17146082,1.47322212,1.00323342,2.3085775,0.21480789,0.31414299,0.40647321,Europe,Minor,1.156463,1.161584,1.1622419,1.1485742,46.18424121,0.00461812,1.14746876,1.16545724,Spinning Top White
EURCHF,EURO / SWISS FRANC,0.96218,0.96349,0.96138,0.96202,0.96211,0.96207,-0.00016,-0.01662891,-0.0003,-0.03117466,-0.52939595,-0.52939595,-0.45013815,0.9083662,-1.34747118,-2.58617198,-0.96663613,-2.76929919,0.21947617,0.45155053,0.43370252,Europe,Minor,0.9617185,0.959003,0.9650362,0.97678555,51.38967636,0.00407142,0.95361748,0.96981952,
GBPRON,BRITISH POUND / ROMANIAN LEU,5.7405,5.7484,5.735,5.7384,5.7404,5.7384,-0.0021,-0.03658218,-0.0039,-0.06791704,-0.01045478,-0.01045478,-0.12878972,-1.20345024,-0.96132272,2.01418641,1.62755689,2.60885114,0.23365301,0.32663379,0.42118084,Europe,Exotic,5.74985,5.756884,5.758576,5.6746615,45.95462067,0.02416038,5.70618045,5.79351955,
GBPDKK,BRITISH POUND / DANISH KRONE,8.6144,8.629,8.6087,8.6179,8.6193,8.6185,0.0035,0.04062964,0.00195,0.02263244,0.31755566,0.31755566,0.12198806,-1.29990609,-1.06649217,1.59467052,1.24305547,2.68817845,0.23580796,0.33151105,0.41891933,Europe,Exotic,8.6224925,8.6583554,8.6604968,8.55354295,46.62823081,0.03567551,8.55330145,8.69168355,
EURGBP,EURO / BRITISH POUND,0.86506,0.8663,0.86425,0.86511,0.86528,0.86517,0.00005,0.00577995,-0.00001,-0.00115591,-0.18230278,-0.18230278,-0.03120017,1.41256184,1.22626166,-1.40634794,-0.87198643,-2.22978166,0.23719988,0.33256754,0.42657935,Europe,Minor,0.8642415,0.860411,0.8599448,0.8703148,54.64058284,0.00361355,0.85748266,0.87100034,Doji
EURRON,EURO / ROMANIAN LEU,4.9679,4.9739,4.96175,4.96544,4.96694,4.96546,-0.00246,-0.0495179,-0.00266,-0.0535416,-0.13796432,-0.13796432,-0.16808074,0.18441176,0.253185,0.7397068,0.66781551,0.40522506,0.24487328,0.18100192,0.17731949,Europe,Exotic,4.969972,4.9540908,4.9522227,4.93748055,50.73154577,0.00904952,4.96223872,4.97770528,
CHFGBP,SWISS FRANC / BRITISH POUND,0.8986,0.9,0.8978,0.8989,0.8997,0.8989,0.0003,0.03338527,0.0006,0.06679283,0.39088675,0.39088675,0.42453357,0.52560948,2.59073271,1.22747748,0.04451864,0.59310654,0.24504344,0.37462674,0.39420112,Europe,Minor,0.89811,0.896704,0.890656,0.890582,53.55971983,0.00357737,0.89448901,0.90173099,Spinning Top White
USDCNH,U.S. DOLLAR / OFFSHORE CHINESE YUAN,7.30544,7.32177,7.30242,7.31315,7.31448,7.31283,0.00771,0.10553779,0.01088,0.14899476,0.27684232,0.27684232,0.28660564,0.16161395,0.81138195,6.31911946,3.47679425,5.87152935,0.26703476,0.29311098,0.37459496,Asia,Exotic,7.3021145,7.2812236,7.2228746,7.0470198,53.93698358,0.02667851,7.27378463,7.33044437,
CHFNZD,SWISS FRANC / NEW ZEALAND DOLLAR,1.8371,1.8403,1.8352,1.8388,1.8396,1.8388,0.0017,0.09253715,0.0018,0.09798585,0.93314305,0.93314305,0.33831715,-3.7378285,1.42305571,3.93398146,3.81076046,7.98050385,0.27789887,0.61120645,0.62237898,Europe,Minor,1.858035,1.882686,1.851926,1.797064,36.69647985,0.0117806,1.80654961,1.90952039,
GBPSEK,BRITISH POUND / SWEDISH KRONA,13.4178,13.4457,13.406,13.42944,13.4375,13.4277,0.01164,0.08675044,0.01514,0.11286463,0.77849569,0.77849569,0.67174769,-3.66808218,-3.53383999,3.49285615,8.30804965,6.49664557,0.29613606,0.61437336,0.79236234,Europe,Exotic,13.599135,13.70287,13.6189,13.18962085,37.33811069,0.10576927,13.16558884,14.03268116,
SGDCHF,SINGAPORE DOLLAR / SWISS FRANC,0.6673,0.6688,0.6668,0.668,0.6682,0.668,0.0007,0.10490034,0.0008,0.11990408,-0.20914252,-0.20914252,-0.20914252,2.26576852,0.98261527,-1.67795113,-3.10414853,-2.82222869,0.29994001,0.49187819,0.41745722,,Exotic,0.66315,0.655638,0.659194,0.672668,66.03367833,0.0029786,0.6514488,0.6748512,
NZDEUR,NEW ZEALAND DOLLAR / EURO,0.56505,0.56614,0.56441,0.56511,0.56537,0.56512,0.00006,0.01061853,0.00004,0.00707877,-0.29816514,-0.29816514,0.21457705,3.04704595,-0.00353901,-1.13540938,-2.58403723,-4.56157536,0.30651477,0.59138798,0.65526409,Pacific,Minor,0.559084,0.5533424,0.5590869,0.5696784,63.67339321,0.0036528,0.54739018,0.57077782,Doji
NZDAUD,NEW ZEALAND DOLLAR / AUSTRALIAN DOLLAR,0.93557,0.93825,0.93535,0.93754,0.93788,0.93754,0.00197,0.21056682,0.00184,0.19664422,0.61601202,0.61601202,1.10319095,1.72187442,0.94317276,0.23520859,6.06136024,0.66246497,0.31004437,0.45367669,0.41814276,Pacific,Minor,0.9262485,0.9243738,0.9224441,0.92338445,66.53043857,0.00393217,0.91213942,0.94035758,
CHFSGD,SWISS FRANC / SINGAPORE DOLLAR,1.49738,1.49976,1.49501,1.49665,1.49712,1.49688,-0.00073,-0.04875182,-0.00053,-0.03539989,0.2713386,0.2713386,0.31098987,-2.17462351,-0.92740921,1.84964647,3.40408186,3.2692321,0.31772363,0.51841613,0.43560788,,Exotic,1.5059425,1.5231662,1.515242,1.4856682,34.72115632,0.00699476,1.47958988,1.53229512,Spinning Top Black
GBPCHF,BRITISH POUND / SWISS FRANC,1.11169,1.11436,1.11059,1.11198,1.11225,1.11185,0.00029,0.02608641,-0.00028,-0.02517397,-0.35396485,-0.35396485,-0.35575071,-0.48505459,-2.45875036,-1.16348316,-0.05842014,-0.55714043,0.33945921,0.49122426,0.48456197,Europe,Minor,1.112508,1.114293,1.1219171,1.12198915,47.35611416,0.00545924,1.10785948,1.11715652,
NZDCHF,NEW ZEALAND DOLLAR / SWISS FRANC,0.5437,0.54506,0.54321,0.54368,0.54377,0.54366,-0.00002,-0.0036785,-0.00019,-0.03493482,-0.89682829,-0.89682829,-0.30439726,3.92629124,-1.33386567,-3.71209974,-3.65408471,-7.36885148,0.3405681,0.68478585,0.6818196,Pacific,Minor,0.5378655,0.5308322,0.5397572,0.5567404,63.68250479,0.00380943,0.52298457,0.55274643,
CHFPLN,SWISS FRANC / POLISH ZLOTY,4.775,4.7842,4.7676,4.7701,4.7735,4.7705,-0.0049,-0.1026178,-0.0088,-0.18414279,-0.19458509,-0.19458509,-0.41752782,1.41165465,3.7293959,0.70938457,-3.66937275,0.82859498,0.34818357,0.66426828,0.89159116,Europe,Exotic,4.80413,4.723188,4.65763,4.688877,49.91802592,0.03806912,4.73781982,4.87044018,
