Ticker,Description,Open,High,Low,Price,Ask,Bid,Change from Open,Change from Open %,Change,Change %,"Change 1W, %","Change 1M, %",Weekly Performance,Monthly Performance,3-Month Performance,6-Month Performance,Yearly Performance,YTD Performance,Volatility,Volatility Week,Volatility Month,Region,Group,Simple Moving Average (20),Simple Moving Average (50),Simple Moving Average (100),Simple Moving Average (200),Relative Strength Index (14),Average True Range (14),Bollinger Lower Band (20),Bollinger Upper Band (20),Pattern
USDSAR,U.S. DOLLAR / SAUDI ARABIAN RIYAL,3.7488,3.7488,3.7487,3.7487,3.7491,3.7486,-0.0001,-0.00266752,-0.0001,-0.00266752,0.00533547,0.0106715,0.00533547,0.02401409,0.03789415,-0.01866965,-0.24747206,-0.1943557,0.00266759,0.02561022,0.06948302,Middle East,Exotic,3.7492785,3.7487046,3.7485574,3.7498447,48.47562479,0.0024745,3.74735259,3.75120441,
EURDKK,EURO / DANISH KRONE,7.45588,7.45702,7.45579,7.45643,7.45729,7.45617,0.00055,0.00737673,-0.00017,-0.00227986,-0.00375501,-0.00107289,0.00375529,-0.03445502,0.07166737,0.09262329,0.24778166,0.27568845,0.01649725,0.03908641,0.05706496,Europe,Exotic,7.455962,7.4539994,7.4514998,7.44835449,54.46496245,0.00382674,7.45282453,7.45909947,
USDINR,U.S. DOLLAR / INDIAN RUPEE,83.264,83.264,83.184,83.184,83.249,83.199,-0.08,-0.09607994,-0.05,-0.06007161,0.10349226,0.15411289,-0.00360633,0.0649585,0.98209408,1.55536565,0.44921026,0.58889682,0.09617234,0.15468479,0.23276571,Asia,Exotic,83.11875,82.9598,82.5797,82.35022,54.78761795,0.18307599,82.88331349,83.35418651,
EURRON,EURO / ROMANIAN LEU,4.963,4.9702,4.963,4.9648,4.96669,4.96478,0.0018,0.03626839,0.0015,0.03022183,-0.01006989,-0.15083563,-0.16489041,0.01813091,0.32128352,0.62301634,0.5345861,0.39228374,0.14507354,0.2590862,0.19743827,Europe,Exotic,4.96972,4.955382,4.9520393,4.93782985,50.11217671,0.01013453,4.96234746,4.97709254,Shooting Star
CADSGD,CANADIAN DOLLAR / SINGAPORE DOLLAR,1.0044,1.0057,1.0042,1.0045,1.0053,1.0045,0.0001,0.00995619,-0.0001,-0.00995421,0.57068482,-0.11931988,0.08967716,0.67147725,-0.84887968,1.72151899,-3.70973926,1.61861406,0.14937263,0.40095657,0.40700837,,Exotic,1.00771,1.003594,1.006228,0.996323,49.33281142,0.0040037,0.99586367,1.01955633,Long Upper Shadow
USDHKD,U.S. DOLLAR / HONG KONG DOLLAR,7.82848,7.8304,7.8182,7.81937,7.82021,7.81877,-0.00911,-0.11636997,-0.00923,-0.11790103,-0.15233742,-0.14468694,-0.15871192,-0.2499056,-0.08854759,-0.36607587,-0.38257701,0.12638453,0.15604615,0.06942859,0.07806247,Asia,Exotic,7.824757,7.8280922,7.826174,7.8334396,41.07783277,0.00602687,7.81438911,7.83512489,
GBPEUR,BRITISH POUND / EURO,1.15774,1.15849,1.15618,1.15638,1.15645,1.15629,-0.00136,-0.11747024,-0.00158,-0.13644685,0.05018169,0.25836657,0.27227637,-0.7986686,-1.53188518,1.83345662,1.56156684,2.36168894,0.19979588,0.30007857,0.40483314,Europe,Minor,1.155985,1.1613266,1.1623671,1.1488277,47.47377617,0.00439032,1.14778716,1.16418284,
NZDAUD,NEW ZEALAND DOLLAR / AUSTRALIAN DOLLAR,0.93845,0.93946,0.93745,0.93898,0.93929,0.93897,0.00053,0.0564761,0.00061,0.06500634,0.11515087,0.77055162,0.52996156,1.95554687,1.42692029,1.2464687,6.69014885,0.81707592,0.21441144,0.37720946,0.41156215,Pacific,Minor,0.9282505,0.924868,0.9223296,0.9234962,68.05245826,0.00376194,0.91327966,0.94322134,
AUDNZD,AUSTRALIAN DOLLAR / NEW ZEALAND DOLLAR,1.06458,1.06695,1.06425,1.06474,1.06485,1.06478,0.00016,0.0150294,0.00006,0.0056355,-0.05725818,-0.70502658,-0.4068881,-1.84647437,-1.32708098,-1.08324043,-6.21261902,-0.7605555,0.25369979,0.42267995,0.43401357,Pacific,Minor,1.076416,1.0802792,1.0832316,1.08186225,32.48970708,0.00463169,1.0591393,1.0936927,Long Upper Shadow
GBPDKK,BRITISH POUND / DANISH KRONE,8.63336,8.6384,8.6163,8.6219,8.624,8.6216,-0.01146,-0.1327409,-0.0082,-0.09501628,0.32102635,0.36411807,0.31413978,-0.79393388,-1.47525997,1.91792805,1.84028065,2.73584119,0.25649061,0.39292639,0.43696459,Europe,Exotic,8.616849,8.6559828,8.6613115,8.5555438,48.51381037,0.03637476,8.55257974,8.68111826,
