Ticker,Description,Open,High,Low,Price,Ask,Bid,Change from Open,Change from Open %,Change,Change %,"Change 1W, %","Change 1M, %",Weekly Performance,Monthly Performance,3-Month Performance,6-Month Performance,Yearly Performance,YTD Performance,Volatility,Volatility Week,Volatility Month,Region,Group,Simple Moving Average (20),Simple Moving Average (50),Simple Moving Average (100),Simple Moving Average (200),Relative Strength Index (14),Average True Range (14),Bollinger Lower Band (20),Bollinger Upper Band (20),Pattern
EURDKK,EURO / DANISH KRONE,7.45523,7.45793,7.45523,7.45631,7.45767,7.45656,0.00108,0.01448647,0.00038,0.00509661,-0.0053643,-0.00268222,-0.00160935,-0.01863845,0.05998518,0.08805665,0.24279905,0.27407466,0.03621619,0.03873889,0.05230573,Europe,Exotic,7.4557755,7.4541178,7.451576,7.44845194,53.75093258,0.00377544,7.45310626,7.45844474,
USDSAR,U.S. DOLLAR / SAUDI ARABIAN RIYAL,3.7486,3.7489,3.7486,3.7489,3.7494,3.7489,0.0003,0.00800299,-0.0018,-0.04799104,0.01067094,0.01600726,0.01067094,-0.04532608,0.04323136,0.00266752,-0.24215008,-0.18903088,0.05602091,0.02614294,0.06632209,Middle East,Exotic,3.7493985,3.748778,3.7485844,3.7498292,49.13117264,0.00256714,3.74742463,3.75137237,
USDHKD,U.S. DOLLAR / HONG KONG DOLLAR,7.8188,7.8218,7.816,7.82,7.82046,7.82007,0.0012,0.01534762,0.0013,0.0166268,-0.14429277,-0.13664168,-0.14403776,-0.25001276,-0.06785674,-0.36960075,-0.37239322,0.13445163,0.07420676,0.07238958,0.07553138,Asia,Exotic,7.8244335,7.8284534,7.8260693,7.83345725,42.17827362,0.00601066,7.8138073,7.8350597,
USDINR,U.S. DOLLAR / INDIAN RUPEE,83.142,83.245,83.12,83.16,83.17,83.16,0.018,0.02164971,0.018,0.02164971,0.0746107,0.12521672,-0.06249099,0.21208908,1.47403358,1.87431092,0.92600459,0.55987521,0.15038499,0.16746756,0.22864863,Asia,Exotic,83.1316,82.96808,82.58438,82.35204,53.81058558,0.18171342,82.92891858,83.33428142,
CADSGD,CANADIAN DOLLAR / SINGAPORE DOLLAR,1.0034,1.0034,1.0013,1.0024,1.0032,1.0024,-0.001,-0.09966115,-0.0012,-0.11956955,0.36043252,-0.32812966,0.0698812,0.1598721,-0.6048587,1.16056111,-3.83729854,1.40617097,0.22970139,0.34655717,0.40921741,,Exotic,1.007595,1.003546,1.006321,0.9963585,46.43142318,0.00393507,0.99558742,1.01960258,
EURCZK,EURO / CZECH KORUNA,24.536,24.5797,24.5221,24.5239,24.5455,24.522,-0.0121,-0.04931529,-0.0261,-0.10631365,0.29814732,0.45426617,0.14251297,0.55724127,3.1542862,5.54042132,0.08529568,1.68550507,0.23489016,0.5129083,0.55891073,Europe,Exotic,24.420165,24.265364,24.015042,23.828696,60.21091728,0.13482209,24.27809542,24.56223458,Long Upper Shadow
EURRON,EURO / ROMANIAN LEU,4.9642,4.9715,4.9596,4.9596,4.9616,4.9596,-0.0046,-0.09266347,-0.0048,-0.09668842,-0.11479669,-0.255415,-0.29151002,-0.062466,0.26483372,0.58999982,0.46183763,0.28713552,0.2399387,0.28254344,0.20248868,Europe,Exotic,4.969265,4.955838,4.9521521,4.93798185,44.23276041,0.01026064,4.960638,4.977892,
EURSGD,EURO / SINGAPORE DOLLAR,1.44598,1.4477,1.44391,1.44665,1.4469,1.4467,0.00067,0.04633536,0.002,0.13844184,0.12111565,0.17658057,0.64912476,-0.96864732,-2.27450821,-0.91438356,3.8230777,0.90325731,0.26248173,0.34374451,0.42317168,,Exotic,1.447023,1.4604258,1.4628044,1.45180985,45.09575629,0.00595364,1.4345824,1.4594636,
SGDHKD,SINGAPORE DOLLAR / HONG KONG DOLLAR,5.7334,5.7435,5.7284,5.7352,5.7369,5.7352,0.0018,0.03139498,0.0033,0.05757253,-0.00348712,0.07503184,0.65816031,-0.12538312,-2.47585363,-3.33063646,5.09033606,-1.57035715,0.26359891,0.42319051,0.38482526,Asia,Exotic,5.723805,5.75722,5.793912,5.837452,49.59147454,0.02280307,5.69846993,5.74914007,
NZDAUD,NEW ZEALAND DOLLAR / AUSTRALIAN DOLLAR,0.9394,0.94023,0.93775,0.93866,0.93911,0.93879,-0.00074,-0.07877369,-0.0006,-0.06388008,0.08103209,0.73620949,0.16433328,1.7738263,1.33762294,1.21196437,6.26018837,0.78271793,0.26446281,0.35297285,0.40835582,Pacific,Minor,0.929138,0.9250568,0.9223921,0.92358965,66.91385996,0.00376588,0.9138444,0.9444316,
